COMPANY_ID,COMPANY_NAME,CHINESE_NAME,ACTIVE_INACTIVE,BUSINESS_TYPE,PRC_HOME_BASE,GOV_COMPLICITY
1,Harbor Batch Bakery,,Active,Bakery,Midwest,Retail bakery
2,Maple & Main Cookie Co.,,Active,Bakery,Northeast,Neighborhood bakery
3,Bluebird Oven Foods,,Active,Bakery,Pacific Northwest,Regional bakery
4,Seaside Biscuit Works,,Active,Bakery,Southeast,Coastal bakery
5,Golden Grain Supply,,Active,Ingredient Supplier,Great Lakes,Flour supplier
6,Orchard Vanilla Imports,,Active,Ingredient Supplier,East Coast,Vanilla importer
7,Northwind Butter Works,,Active,Ingredient Supplier,Wisconsin,Butter producer
8,Cacao Coast Ingredients,,Active,Ingredient Supplier,West Coast,Chocolate supplier
9,Clover Cane Sugars,,Active,Ingredient Supplier,Gulf Coast,Sugar supplier
10,Meadow Oat Collective,,Active,Ingredient Supplier,Upper Midwest,Oat supplier
11,Golden Crate Logistics,,Active,Distributor,National,Wholesale distributor
12,CertiBake Registry,,Active,Source Entity,National,Public claims registry
