ASSOCIATIONID,COMPANY_ID,ASSOCIATED_COMPANY_ID,LINKAGE_METHOD,LINKAGE_VALUE,LINKAGE_TYPE,DATA_SOURCE_ID,SCRAPE_RUN_ID,SOURCE_PLATFORM,OBSERVED_AT,FIRST_SEEN_AT,LAST_SEEN_AT,company_name,associated_company_name
1,1,2,Email,orders@bakeryboard-kitchens.example,Shared BakeryBoard inbox,1,2026-04-01_bakeryboard,BakeryBoard,2026-04-01,2026-04-01,2026-04-01,Harbor Batch Bakery,Maple & Main Cookie Co.
2,5,6,Email,catalog@ingredienthub.example,Shared IngredientHub supplier inbox,4,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15,Golden Grain Supply,Orchard Vanilla Imports
3,5,9,Phone,+1-414-555-0110,Shared IngredientHub support line,8,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15,Golden Grain Supply,Clover Cane Sugars
4,6,8,Email,catalog@ingredienthub.example,Shared IngredientHub supplier inbox,5,2026-04-15_ingredienthub,IngredientHub,2026-04-15,2026-04-15,2026-04-15,Orchard Vanilla Imports,Cacao Coast Ingredients
5,1,11,Phone,+1-773-555-0142,Shared WholesaleCrumb route line,10,2026-05-01_wholesalecrumb,WholesaleCrumb,2026-05-01,2026-05-01,2026-05-01,Harbor Batch Bakery,Golden Crate Logistics
6,2,11,Phone,+1-773-555-0142,Shared WholesaleCrumb route line,10,2026-05-01_wholesalecrumb,WholesaleCrumb,2026-05-01,2026-05-01,2026-05-01,Maple & Main Cookie Co.,Golden Crate Logistics
7,8,11,Phone,+1-773-555-0142,Shared WholesaleCrumb route line,10,2026-05-01_wholesalecrumb,WholesaleCrumb,2026-05-01,2026-05-01,2026-05-01,Cacao Coast Ingredients,Golden Crate Logistics
8,12,1,Email,registry@certibake.example,Listed in CertiBake claims registry,11,2026-05-20_certibake_registry,CertiBake Registry,2026-05-20,2026-05-20,2026-05-20,CertiBake Registry,Harbor Batch Bakery
9,12,2,Email,registry@certibake.example,Listed in CertiBake claims registry,11,2026-05-20_certibake_registry,CertiBake Registry,2026-05-20,2026-05-20,2026-05-20,CertiBake Registry,Maple & Main Cookie Co.
10,12,3,Email,registry@certibake.example,Listed in CertiBake claims registry,11,2026-05-20_certibake_registry,CertiBake Registry,2026-05-20,2026-05-20,2026-05-20,CertiBake Registry,Bluebird Oven Foods
11,1,5,Email,orders@goldengrain.example,BakeryBoard refresh supplier reference,13,2026-06-10_bakeryboard_refresh,BakeryBoard Refresh,2026-06-10,2026-06-10,2026-06-10,Harbor Batch Bakery,Golden Grain Supply
12,4,11,Phone,+1-773-555-0142,Shared WholesaleCrumb route line,14,2026-06-10_bakeryboard_refresh,BakeryBoard Refresh,2026-06-10,2026-06-10,2026-06-10,Seaside Biscuit Works,Golden Crate Logistics
13,4,5,Email,orders@goldengrain.example,BakeryBoard refresh supplier reference,14,2026-06-10_bakeryboard_refresh,BakeryBoard Refresh,2026-06-10,2026-06-10,2026-06-10,Seaside Biscuit Works,Golden Grain Supply
